name,year,Price,kms_driven,fuel_type,transmission,owner
Hyundai Santro Xing XO eRLX Euro III,2007,80000,"45,000 kms",Petrol,Manual,First Owner
Mahindra Jeep CL550 MDI,2006,"4,25,000",40 kms,Diesel,Manual,First Owner
Maruti Suzuki Alto 800 Vxi,2018,Ask For Price,"22,000 kms",Petrol,Manual,Third Owner
Hyundai Grand i10 Magna 1.2 Kappa VTVT,2014,"3,25,000","28,000 kms",Petrol,Manual,First Owner
Ford EcoSport Titanium 1.5L TDCi,2014,"5,75,000","36,000 kms",Diesel,Manual,First Owner
Ford EcoSport Titanium 1.5L TDCi,2015,Ask For Price,"59,000 kms",Diesel,Manual,First Owner
Ford Figo,2012,"1,75,000","41,000 kms",Diesel,Manual,First Owner
Hyundai Eon,2013,"1,90,000","25,000 kms",Petrol,Manual,Second Owner
Ford EcoSport Ambiente 1.5L TDCi,2016,"8,30,000","24,530 kms",Diesel,Manual,First Owner
Maruti Suzuki Alto K10 VXi AMT,2015,"2,50,000","60,000 kms",Petrol,Manual,First Owner
Skoda Fabia Classic 1.2 MPI,2010,"1,82,000","60,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Stingray VXi,2015,"3,15,000","30,000 kms",Petrol,Manual,Second Owner
Hyundai Elite i20 Magna 1.2,2014,"4,15,000","32,000 kms",Petrol,Manual,Second Owner
Mahindra Scorpio SLE BS IV,2015,"3,20,000","48,660 kms",Diesel,Manual,Second Owner
Hyundai Santro Xing XO eRLX Euro III,2007,80000,"45,000 kms",Petrol,Manual,Second Owner
Mahindra Jeep CL550 MDI,2006,"4,25,000",40 kms,Diesel,Manual,First Owner
Audi A8,2017,"10,00,000","4,000 kms",Petrol,Manual,Second Owner
Audi Q7,2014,"5,00,000","16,934 kms",Diesel,Manual,Second Owner
Mahindra Scorpio S10,2016,"3,50,000","43,000 kms",Diesel,Manual,Second Owner
Maruti Suzuki Alto 800,2014,"1,60,000","35,550 kms",Petrol,Manual,First Owner
Mahindra Scorpio S10,2016,"3,50,000","43,000 kms",Diesel,Manual,Second Owner
Mahindra Scorpio S10,2016,"3,10,000","39,522 kms",Diesel,Manual,First Owner
Maruti Suzuki Alto 800 Vxi,2015,75000,"39,000 kms",Petrol,Manual,First Owner
Hyundai i20 Sportz 1.2,2012,"1,00,000","55,000 kms",Petrol,Manual,First Owner
Hyundai i20 Sportz 1.2,2012,"1,00,000","55,000 kms",Petrol,Manual,First Owner
Hyundai i20 Sportz 1.2,2012,"1,00,000","55,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Alto 800 Lx,2017,"1,90,000","72,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Vitara Brezza ZDi,2016,"2,90,000","15,975 kms",Diesel,Manual,First Owner
Maruti Suzuki Alto LX,2008,95000,"70,000 kms",Petrol,Manual,First Owner
Mahindra Bolero DI,2017,"1,80,000","23,452 kms",Diesel,Manual,First Owner
Maruti Suzuki Swift Dzire ZDi,2014,"3,85,000","35,522 kms",Diesel,Manual,First Owner
Mahindra Scorpio S10 4WD,2015,"2,50,000","48,508 kms",Diesel,Manual,Second Owner
Maruti Suzuki Swift Vdi BSIII,2017,"1,80,000","15,487 kms",Petrol,Manual,Second Owner
Maruti Suzuki Wagon R VXi BS III,2013,"1,05,000","39,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Wagon R VXi Minor,2013,"1,05,000","39,000 kms",Petrol,Manual,First Owner
Toyota Innova 2.0 G 8 STR BS IV,2012,"6,50,000","82,000 kms",Diesel,Manual,Second Owner
Renault Lodgy 85 PS RXL,2018,"6,89,999","20,000 kms",Diesel,Manual,First Owner
Skoda Yeti Ambition 2.0 TDI CR 4x2,2012,"4,48,000","68,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Baleno Delta 1.2,2017,"5,49,000","32,000 kms",Diesel,Manual,First Owner
Renault Duster 110 PS RxZ Diesel Plus,2012,"5,01,000","38,000 kms",Diesel,Manual,Second Owner
Renault Duster 85 PS RxE Diesel,2013,"4,89,999","27,000 kms",Diesel,Manual,First Owner
Honda City 1.5 S MT,2011,"2,80,000","33,000 kms",Petrol,Automatic,First Owner
Maruti Suzuki Alto K10 VXi AMT,2015,"2,50,000","60,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Dzire,2013,"3,49,999","46,000 kms",Diesel,Manual,First Owner
Honda Amaze,2013,"2,84,999","46,000 kms",Diesel,Automatic,First Owner
Honda Amaze 1.5 SX i DTEC,2015,"3,45,000","36,000 kms",Diesel,Manual,First Owner
Honda City,2015,"4,99,999","55,000 kms",Petrol,Manual,First Owner
Datsun Redi GO S,2017,"2,35,000","16,000 kms",Petrol,Manual,First Owner
Maruti Suzuki SX4 ZXI MT,2010,"2,49,999","36,000 kms",Petrol,Manual,First Owner
Mitsubishi Pajero Sport Limited Edition,2015,"14,75,000","47,000 kms",Diesel,Automatic,Second Owner
Mahindra Bolero DI,2017,"1,80,000","23,452 kms",Diesel,Manual,First Owner
Maruti Suzuki Swift Dzire ZDi,2014,"3,85,000","35,522 kms",Diesel,Manual,First Owner
Mahindra Scorpio S10 4WD,2015,"2,50,000","48,508 kms",Diesel,Manual,First Owner
Maruti Suzuki Swift Vdi BSIII,2017,"1,80,000","15,487 kms",Petrol,Manual,First Owner
Maruti Suzuki Wagon R VXi BS III,2013,"1,05,000","39,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Wagon R VXi Minor,2013,"1,05,000","39,000 kms",Petrol,Automatic,Second Owner
Mahindra Scorpio S10,2015,"3,95,000","35,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Swift VXi 1.2 ABS BS IV,2017,"2,20,000","30,874 kms",Petrol,Automatic,Second Owner
Honda City ZX CVT,2017,"1,70,000","15,000 kms",Diesel,Automatic,First Owner
Maruti Suzuki Wagon R LX BS IV,2013,85000,"29,685 kms",Petrol,Automatic,First Owner
Ford Figo,2012,"1,75,000","41,000 kms",Diesel,Automatic,First Owner
