,name,year,Price,kms_driven,fuel_type,transmission,owner
0,Hyundai Santro Xing,2007,80000,45000,Petrol,Manual,First Owner
1,Mahindra Jeep CL550,2006,425000,40,Diesel,Manual,First Owner
2,Hyundai Grand i10,2014,325000,28000,Petrol,Manual,First Owner
3,Ford EcoSport Titanium,2014,575000,36000,Diesel,Manual,First Owner
4,Ford Figo,2012,175000,41000,Diesel,Manual,First Owner
5,Hyundai Eon,2013,190000,25000,Petrol,Manual,Second Owner
6,Ford EcoSport Ambiente,2016,830000,24530,Diesel,Manual,First Owner
7,Maruti Suzuki Alto,2015,250000,60000,Petrol,Manual,First Owner
8,Skoda Fabia Classic,2010,182000,60000,Petrol,Manual,Second Owner
9,Maruti Suzuki Stingray,2015,315000,30000,Petrol,Manual,Second Owner
10,Hyundai Elite i20,2014,415000,32000,Petrol,Manual,Second Owner
11,Mahindra Scorpio SLE,2015,320000,48660,Diesel,Manual,Second Owner
12,Hyundai Santro Xing,2007,80000,45000,Petrol,Manual,Second Owner
13,Mahindra Jeep CL550,2006,425000,40,Diesel,Manual,First Owner
14,Audi A8,2017,1000000,4000,Petrol,Manual,Second Owner
15,Audi Q7,2014,500000,16934,Diesel,Manual,Second Owner
16,Mahindra Scorpio S10,2016,350000,43000,Diesel,Manual,Second Owner
17,Maruti Suzuki Alto,2014,160000,35550,Petrol,Manual,First Owner
18,Mahindra Scorpio S10,2016,350000,43000,Diesel,Manual,Second Owner
19,Mahindra Scorpio S10,2016,310000,39522,Diesel,Manual,First Owner
20,Maruti Suzuki Alto,2015,75000,39000,Petrol,Manual,First Owner
21,Hyundai i20 Sportz,2012,100000,55000,Petrol,Manual,First Owner
22,Hyundai i20 Sportz,2012,100000,55000,Petrol,Manual,First Owner
23,Hyundai i20 Sportz,2012,100000,55000,Petrol,Manual,First Owner
24,Maruti Suzuki Alto,2017,190000,72000,Petrol,Manual,First Owner
25,Maruti Suzuki Vitara,2016,290000,15975,Diesel,Manual,First Owner
26,Maruti Suzuki Alto,2008,95000,70000,Petrol,Manual,First Owner
27,Mahindra Bolero DI,2017,180000,23452,Diesel,Manual,First Owner
28,Maruti Suzuki Swift,2014,385000,35522,Diesel,Manual,First Owner
29,Mahindra Scorpio S10,2015,250000,48508,Diesel,Manual,Second Owner
30,Maruti Suzuki Swift,2017,180000,15487,Petrol,Manual,Second Owner
31,Maruti Suzuki Wagon,2013,105000,39000,Petrol,Manual,First Owner
32,Maruti Suzuki Wagon,2013,105000,39000,Petrol,Manual,First Owner
33,Toyota Innova 2.0,2012,650000,82000,Diesel,Manual,Second Owner
34,Renault Lodgy 85,2018,689999,20000,Diesel,Manual,First Owner
35,Skoda Yeti Ambition,2012,448000,68000,Diesel,Manual,First Owner
36,Maruti Suzuki Baleno,2017,549000,32000,Diesel,Manual,First Owner
37,Renault Duster 110,2012,501000,38000,Diesel,Manual,Second Owner
38,Renault Duster 85,2013,489999,27000,Diesel,Manual,First Owner
39,Honda City 1.5,2011,280000,33000,Petrol,Automatic,First Owner
40,Maruti Suzuki Alto,2015,250000,60000,Petrol,Manual,First Owner
41,Maruti Suzuki Dzire,2013,349999,46000,Diesel,Manual,First Owner
42,Honda Amaze,2013,284999,46000,Diesel,Automatic,First Owner
43,Honda Amaze 1.5,2015,345000,36000,Diesel,Manual,First Owner
44,Honda City,2015,499999,55000,Petrol,Manual,First Owner
45,Datsun Redi GO,2017,235000,16000,Petrol,Manual,First Owner
46,Maruti Suzuki SX4,2010,249999,36000,Petrol,Manual,First Owner
47,Mitsubishi Pajero Sport,2015,1475000,47000,Diesel,Automatic,Second Owner
48,Mahindra Bolero DI,2017,180000,23452,Diesel,Manual,First Owner
49,Maruti Suzuki Swift,2014,385000,35522,Diesel,Manual,First Owner
50,Mahindra Scorpio S10,2015,250000,48508,Diesel,Manual,First Owner
51,Maruti Suzuki Swift,2017,180000,15487,Petrol,Manual,First Owner
52,Maruti Suzuki Wagon,2013,105000,39000,Petrol,Manual,First Owner
53,Maruti Suzuki Wagon,2013,105000,39000,Petrol,Automatic,Second Owner
54,Mahindra Scorpio S10,2015,395000,35000,Diesel,Manual,First Owner
