,Brand,Memory,Storage,Rating,Original Price,colour
0,OPPO,4,64,4.5,15990,black
1,OPPO,4,64,4.5,15990,cream
2,OPPO,6,128,4.3,17990,black
3,OPPO,6,128,4.3,17990,cream
4,OPPO,4,64,4.5,15990,black
5,OPPO,6,128,4.3,17990,black
6,OPPO,4,64,4.4,11990,blue
11,OPPO,4,64,4.4,11990,silver
12,OPPO,6,128,4.3,16990,blue
13,OPPO,6,128,4.3,16990,black
14,OPPO,4,64,4.4,11990,blue
15,OPPO,8,128,4.3,18990,blue
16,OPPO,8,128,4.3,18990,black
18,OPPO,4,64,4.3,12990,green
19,OPPO,4,64,4.3,11919,black
20,OPPO,6,128,4.3,18979,purple
22,OPPO,8,128,4.3,25990,black
23,OPPO,4,128,4.3,15990,gold
24,OPPO,4,64,4.3,14990,gold
25,OPPO,8,128,4.3,35990,aurora
26,OPPO,8,128,4.3,35990,black
27,OPPO,8,128,4.3,25990,blue
28,OPPO,4,64,4.3,14990,blue
29,OPPO,4,128,4.3,15990,blue
30,OPPO,6,128,4.3,17990,gold
31,OPPO,6,128,4.3,17990,blue
32,OPPO,4,64,4.3,14990,black
33,OPPO,8,128,4.3,25990,white
34,OPPO,4,64,4.3,12319,white
35,OPPO,8,128,4.3,21990,blue
36,OPPO,6,128,4.3,15999,blue
37,OPPO,4,64,4.24309764309762,13850,blue
39,OPPO,4,128,4.3,15990,black
40,OPPO,8,128,4.4,38990,blue
41,OPPO,4,64,4.24309764309762,15990,black
43,OPPO,6,128,4.2,20990,orange
45,OPPO,4,64,4.5,13499,white
46,OPPO,6,128,4.3,15999,white
47,OPPO,6,128,4.3,18380,black
48,OPPO,12,256,4.4,46990,black
49,OPPO,6,128,4.3,17990,black
50,OPPO,6,256,4.4,19990,white
51,OPPO,6,256,4.4,19990,green
52,OPPO,8,256,4.4,28989,black
53,OPPO,6,128,4.2,20990,blue
54,OPPO,4,64,4.3,13990,black
55,OPPO,4,64,4.3,13990,silver
56,OPPO,8,256,4.4,35990,blue
57,OPPO,8,128,4.3,23990,silver
58,OPPO,8,256,4.3,25990,purple
59,OPPO,8,128,4.3,29990,silver
60,OPPO,8,128,4.3,29990,black
61,OPPO,4,64,4.3,12989,white
62,OPPO,8,128,4.3,23990,black
63,OPPO,8,256,4.3,25990,silver
64,OPPO,8,256,4.3,25990,black
65,OPPO,8,128,4.3,23990,purple
